Age,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Ed Level,Accounts Held
25,49,4,1.6,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
45,34,3,1.5,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
39,11,1,1,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
35,100,1,2.7,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
35,45,4,1,2,0,0,0,0,0,1,Graduate,Does not hold Securities or Deposit
37,29,4,0.4,2,155,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
53,72,2,1.5,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
50,22,1,0.3,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
35,81,3,0.6,2,104,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
34,180,1,8.9,3,0,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
65,105,4,2.4,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
29,45,3,0.1,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
48,114,2,3.8,3,0,0,1,0,0,0,Advanced Degree, Holds only Securites 
59,40,4,2.5,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
67,112,1,2,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
60,22,1,1.5,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
38,130,4,4.7,3,134,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
42,81,4,2.4,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
46,193,2,8.1,3,0,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
55,21,1,0.5,2,0,0,1,0,0,1,Graduate, Holds only Securites 
56,25,4,0.9,2,111,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
57,63,3,2,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
29,62,1,1.2,1,260,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
44,43,2,0.7,1,163,0,1,0,0,0,Undergraduate, Holds only Securites 
36,152,2,3.9,1,159,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
43,29,3,0.5,1,97,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
40,83,4,0.2,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
46,158,1,2.4,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
56,48,1,2.2,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
38,119,1,3.3,2,0,1,0,1,1,1,Graduate, Holds only Deposit
59,35,1,1.2,3,122,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
40,29,1,2,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
53,41,2,0.6,3,193,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
30,18,3,0.9,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
31,50,4,1.8,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
48,81,3,0.7,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
59,121,1,2.9,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
51,71,1,1.4,3,198,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
42,141,3,5,3,0,1,1,1,1,0,Advanced Degree,Holds Securities & Deposit
38,80,4,0.7,3,285,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
57,84,3,1.6,3,0,0,1,0,0,0,Advanced Degree, Holds only Securites 
34,60,3,2.3,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
32,132,4,1.1,2,412,1,0,0,1,0,Graduate,Does not hold Securities or Deposit
39,45,1,0.7,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
46,104,1,5.7,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
57,52,4,2.5,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
39,43,3,0.7,2,153,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
37,194,4,0.2,3,211,1,1,1,1,1,Advanced Degree,Holds Securities & Deposit
56,81,2,4.5,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
40,49,1,1.8,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
32,8,4,0.7,2,0,0,1,0,1,0,Graduate, Holds only Securites 
61,131,1,2.9,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
30,72,1,0.1,1,207,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
50,190,3,2.1,3,240,1,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
29,44,1,0.2,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
41,139,2,8,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
55,29,3,0.1,2,0,0,1,1,1,0,Graduate,Holds Securities & Deposit
56,131,2,1.2,3,0,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
28,93,2,0.2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
31,188,2,4.5,1,455,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
49,39,3,1.7,2,0,0,1,0,1,0,Graduate, Holds only Securites 
47,125,1,5.7,1,112,0,1,0,0,0,Undergraduate, Holds only Securites 
42,22,1,1,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
42,32,4,0,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
47,105,2,3.3,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
59,131,1,3.8,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
62,105,2,2.8,1,336,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
53,45,4,2,3,132,0,1,0,0,0,Advanced Degree, Holds only Securites 
47,60,3,2.1,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
53,20,4,0.2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
42,115,1,3.5,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
53,69,4,1,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
44,130,1,5,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
41,85,1,4,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
28,135,2,3.3,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
31,135,4,3.8,2,0,1,0,1,1,1,Graduate, Holds only Deposit
58,12,3,0.3,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
46,29,3,0.5,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
54,133,2,2.6,3,0,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
50,19,2,0.4,1,118,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
60,41,4,1.3,1,174,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
47,40,3,2.7,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
41,82,1,4,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
33,50,1,2.4,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
46,18,1,0.9,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
27,109,4,1.8,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
40,42,4,2.2,2,126,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
48,78,3,1.1,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
65,51,2,1.1,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
25,113,4,2.3,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
55,118,4,5.6,2,0,1,0,0,1,0,Graduate,Does not hold Securities or Deposit
35,29,4,1.1,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
43,34,3,0.6,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
60,64,2,1.7,3,236,0,1,0,1,0,Advanced Degree, Holds only Securites 
65,121,1,2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
38,48,4,0.2,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
41,80,1,5.2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
54,161,1,2.9,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
49,94,1,0.3,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
66,15,3,0.1,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
48,74,1,1.2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
61,30,3,1.3,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
53,44,3,1,3,198,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
43,22,2,0.3,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
56,38,4,1.3,1,166,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
24,35,3,0.1,2,0,0,1,0,1,0,Graduate, Holds only Securites 
43,69,4,2.9,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
42,43,1,0.7,1,136,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
33,32,1,0.6,3,166,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
43,49,1,2.8,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
41,9,3,1,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
62,45,4,1.3,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
40,82,3,1,1,309,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
58,92,2,2.8,1,103,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
39,39,3,0.5,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
65,81,3,1.8,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
54,35,1,1.5,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
58,61,2,2.3,3,193,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
41,73,3,3,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
32,112,1,4.6,1,366,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
54,12,2,0.2,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
52,38,3,0.9,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
