ID,Age,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Ed Level,Accounts Held
0,25,49,4,1.6,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
1,45,34,3,1.5,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
2,39,11,1,1,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
3,35,100,1,2.7,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
4,35,45,4,1,2,0,0,0,0,0,1,Graduate,Does not hold Securities or Deposit
5,37,29,4,0.4,2,155,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
6,53,72,2,1.5,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
7,50,22,1,0.3,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
8,35,81,3,0.6,2,104,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
9,34,180,1,8.9,3,0,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
10,65,105,4,2.4,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
11,29,45,3,0.1,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
12,48,114,2,3.8,3,0,0,1,0,0,0,Advanced Degree, Holds only Securites 
13,59,40,4,2.5,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
14,67,112,1,2,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
15,60,22,1,1.5,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
16,38,130,4,4.7,3,134,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
17,42,81,4,2.4,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
18,46,193,2,8.1,3,0,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
19,55,21,1,0.5,2,0,0,1,0,0,1,Graduate, Holds only Securites 
20,56,25,4,0.9,2,111,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
21,57,63,3,2,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
22,29,62,1,1.2,1,260,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
23,44,43,2,0.7,1,163,0,1,0,0,0,Undergraduate, Holds only Securites 
24,36,152,2,3.9,1,159,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
25,43,29,3,0.5,1,97,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
26,40,83,4,0.2,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
27,46,158,1,2.4,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
28,56,48,1,2.2,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
29,38,119,1,3.3,2,0,1,0,1,1,1,Graduate, Holds only Deposit
30,59,35,1,1.2,3,122,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
31,40,29,1,2,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
32,53,41,2,0.6,3,193,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
33,30,18,3,0.9,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
34,31,50,4,1.8,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
35,48,81,3,0.7,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
36,59,121,1,2.9,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
37,51,71,1,1.4,3,198,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
38,42,141,3,5,3,0,1,1,1,1,0,Advanced Degree,Holds Securities & Deposit
39,38,80,4,0.7,3,285,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
40,57,84,3,1.6,3,0,0,1,0,0,0,Advanced Degree, Holds only Securites 
41,34,60,3,2.3,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
42,32,132,4,1.1,2,412,1,0,0,1,0,Graduate,Does not hold Securities or Deposit
43,39,45,1,0.7,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
44,46,104,1,5.7,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
45,57,52,4,2.5,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
46,39,43,3,0.7,2,153,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
47,37,194,4,0.2,3,211,1,1,1,1,1,Advanced Degree,Holds Securities & Deposit
48,56,81,2,4.5,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
49,40,49,1,1.8,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
